HostName,Product Name,No. of CPU,Type of CPU,Memory,Disk Size,NIC Details,OS,Host URL,Host IP
C240-WZP28189490,UCSC-C240-M7SX,64,Intel(R) Xeon(R) Platinum 8462Y+,512.00 GiB (32 DIMMs),15.06 TB (6 drives),MLOM Adapter (Slot MLOM) - Cisco(R) X710T2LG 2x10 GbE RJ45 OCP 3.0 NIC: No port details available || Network Adapter (Slot 2) - Mellanox Network controller: No port details available || UCS Network Adapter (Slot 1) - Cisco-MLNX MCX623106AS-CDAT 2x100GbE QSFP56 PCIe NIC: No port details available,,u37c01p04kvm14-cimc.cisco.com,10.126.4.236
C240-WMP270700JD,UCSC-C240-M5SX,16,Intel(R) Xeon(R) Gold 6244 CPU @ 3.60GHz,192.00 GiB (24 DIMMs),7.57 TB (6 drives),"UCSC-MLOM-C100-04: Port Port-1: Disconnected, 0 Mbps | Port Port-2: Disconnected, 0 Mbps || UCSC-PCIE-C100-04: Port Port-1: Disconnected, 0 Mbps | Port Port-2: Disconnected, 0 Mbps || Intel Network Adapter (Slot 1) - Intel XL710-QDA2 Dual Port 40Gb QSFP converged NIC: No port details available || VIC Adapter (Slot 2) - Cisco UCS VIC 1495: No port details available || MLOM Adapter (Slot MLOM) - Cisco UCS VIC 1497 MLOM: No port details available",,u37c01p04esx17-cimc.cisco.com,10.126.4.233
C240-WZP281493RF,UCSC-C240-M7SX,64,Intel(R) Xeon(R) Platinum 8462Y+,512.00 GiB (32 DIMMs),15.06 TB (6 drives),MLOM Adapter (Slot MLOM) - Cisco(R) X710T2LG 2x10 GbE RJ45 OCP 3.0 NIC: No port details available || UCS Network Adapter (Slot 2) - Cisco - Intel E810CQDA2 2x100 GbE QSFP28 PCIe NIC: No port details available,,u37c01p04esx19-cimc.cisco.com,10.126.4.235
C240-WZP2818948U,UCSC-C240-M7SX,64,Intel(R) Xeon(R) Platinum 8462Y+,512.00 GiB (32 DIMMs),15.06 TB (6 drives),"Cisco(R) X710T2LG 2x10 GbE RJ45 OCP 3.0 NIC: Port Port-0: Disconnected, 0 Mbps | Port Port-1: Connected, 1000 Mbps || Cisco - Intel E810CQDA2 2x100 GbE QSFP28 PCIe NIC: Port Port-0: Disconnected, 0 Mbps | Port Port-1: Disconnected, 0 Mbps",,u37c01p04esx23-cimc.cisco.com,10.126.4.253
C240-WMP2619006C,UCSC-C240-M5SX,56,Intel(R) Xeon(R) Platinum 8276 CPU @ 2.20GHz,768.00 GiB (24 DIMMs),10.92 TB (6 drives),"UCSC-PCIE-C40Q-03: Port Port-1: Disconnected, 0 Mbps | Port Port-2: Disconnected, 0 Mbps || UCSC-MLOM-C40Q-03: Port Port-1: Connected, 40000 Mbps | Port Port-2: Disconnected, 0 Mbps || Intel Network Adapter (Slot 1) - Intel XL710-QDA2 Dual Port 40Gb QSFP converged NIC: No port details available || VIC Adapter (Slot 2) - Cisco UCS VIC 1385 adapter: No port details available || MLOM Adapter (Slot MLOM) - Cisco UCS VIC 1387 MLOM: No port details available",,u36c01p06-ubuntu02-cimc.cisco.com,10.104.234.187
C240-WMP2619006H,UCSC-C240-M5SX,56,Intel(R) Xeon(R) Platinum 8276 CPU @ 2.20GHz,768.00 GiB (24 DIMMs),10.92 TB (6 drives),"UCSC-PCIE-C40Q-03: Port Port-1: Disconnected, 0 Mbps | Port Port-2: Disconnected, 0 Mbps || UCSC-MLOM-C40Q-03: Port Port-1: Disconnected, 0 Mbps | Port Port-2: Disconnected, 0 Mbps || Intel Network Adapter (Slot 1) - Intel XL710-QDA2 Dual Port 40Gb QSFP converged NIC: No port details available || VIC Adapter (Slot 2) - Cisco UCS VIC 1385 adapter: No port details available || MLOM Adapter (Slot MLOM) - Cisco UCS VIC 1387 MLOM: No port details available",,u36c01p06-ubuntu01-cimc.cisco.com,10.104.234.185
C240-WZP26440VMX,UCSC-C240-M6SX,36,Intel(R) Xeon(R) Gold 6354 CPU @ 3.00GHz,192.00 GiB (32 DIMMs),5.24 TB (5 drives),"UCSC-M-V100-04: Port Port-1: Connected, 100000 Mbps | Port Port-2: Disconnected, 0 Mbps || UCS Network Adapter (Slot 2) - Cisco - Intel E810CQDA2 2x100 GbE QSFP28 PCIe NIC: No port details available || UCS Network Adapter (Slot 3) - Cisco - Intel E810XXVDA4 4x25/10 GbE SFP28 PCIe NIC: No port details available || MLOM Adapter (Slot MLOM) - Cisco UCS VIC 1477 MLOM: No port details available",,u37c01p04kvm11-cimc.cisco.com,10.126.4.228
C240-FCH2226VGYY,UCS C240 M4S,36,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,192.00 GiB (12 DIMMs),6.11 TB (8 drives),"Intel Network Adapter (Slot L) - Intel(R) I350 1 Gbps Network Controller: Port L.1: Disconnected, 0 Mbps | Port L.2: Disconnected, 0 Mbps || VIC Adapter (Slot 2) - UCS VIC1385 40Gbps 2 port CNA QSFP+: No port details available || MLOM Adapter (Slot MLOM) - Cisco UCS VIC 1387 MLOM: Port MLOM.0: Disconnected, 0 Mbps | Port MLOM.1: Disconnected, 0 Mbps",,u32c01p29esx07-cimc.cisco.com,10.196.155.154
C220-WZP232011CF,UCS C220 M5L,20,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,64.00 GiB (1 DIMMs),10.91 TB (1 drives),"UCS VIC 1455: Port 0: Disconnected, 0 Mbps | Port 1: Connected, 0 Mbps | Port 2: Connected, 0 Mbps | Port 3: Disconnected, 0 Mbps || VIC Adapter (Slot 1) - Cisco UCS VIC 1455: No port details available",,u32c01p29-sriov-kvm-cimc.cisco.com,10.196.157.226
C240-WZP2333007Y,UCSC-C240-M5L,40,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,384.00 GiB (24 DIMMs),10.63 TB (14 drives),"UCSC-MLOM-C40Q-03: Port Port-1: Disconnected, 0 Mbps | Port Port-2: Disconnected, 0 Mbps || Intel Network Adapter (Slot 1) - Intel X710-DA2 Dual Port 10Gb SFP+ converged NIC: No port details available || MLOM Adapter (Slot MLOM) - Cisco UCS VIC 1387 MLOM: No port details available",,u36c01p06esx15-cimc.cisco.com,10.104.234.169
C240-WMP2411004P,UCSC-C240-M5SX,40,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,384.00 GiB (24 DIMMs),,UCSC-MLOM-C40Q-03: No port details available || Intel Network Adapter (Slot 1) - Intel XL710-QDA2 Dual Port 40Gb QSFP converged NIC: No port details available || MLOM Adapter (Slot MLOM) - Cisco UCS VIC 1387 MLOM: No port details available,,u36c01p06-ostest-cmp1-cimc.cisco.com,10.76.2.210
C240-WMP2411006Z,UCSC-C240-M5SX,40,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,384.00 GiB (24 DIMMs),4.37 TB (4 drives),"Intel Network Adapter (Slot Slot 1) - Intel XL710-QDA2 Dual Port 40Gb QSFP converged NIC: Port 1.1: Disconnected, 0 Mbps | Port 1.2: Disconnected, 0 Mbps || Intel Network Adapter (Slot Slot 3) - Intel XL710-QDA2 Dual Port 40Gb QSFP converged NIC: Port 3.1: Disconnected, 0 Mbps | Port 3.2: Disconnected, 0 Mbps || VIC Adapter (Slot MLOM) - Cisco UCS VIC 1387 MLOM: Port MLOM.0: Disconnected, 0 Mbps | Port MLOM.1: Disconnected, 0 Mbps || LOM Adapter (Slot L) - Intel X550 LOM: Port L.1: Disconnected, 0 Mbps | Port L.2: Disconnected, 0 Mbps",,u36c01p06-ostest-ctrl-cimc.cisco.com,10.76.2.209
 C240-WMP24100127,UCSC-C240-M5SX,40,Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz,384.00 GiB (12 DIMMs),7.42 TB (8 drives),"Network Adapter (Slot Slot 3) - Intel XL710-QDA2 Dual Port 40Gb QSFP converged NIC: Port 3.2: Disconnected, 0 Mbps | Port 3.1: Disconnected, 0 Mbps || VIC Adapter (Slot MLOM) - Cisco UCS VIC 1387 MLOM: No port details available || Network Adapter (Slot L) - Intel X550 LOM: Port L.2: Disconnected, 0 Mbps | Port L.1: Disconnected, 0 Mbps",N/A,u36c01p06-cvim-08-cimc.cisco.com,10.76.0.209
